brand,name,old_price_reais,old_price_centavos,new_price_reais,new_price_centavos,reviews_rating_number,reviews_amount
OLYMPIKUS,Olympikus Casual Index 3 Masculino Adultos 43611218_1-004,189,99,147,99,4.8,(1655)
OLYMPIKUS,Tênis Masculino Esportivo Dynamic Cover Grid Olympikus Novo,279,99,222,99,4.9,(82)
,Tênis Bolsonaro Masculino Feminino Patriota Style Super Leve,199,90,33,32,4.7,(212)
UZZE,Tênis Meia Masculino Feminino Slip On Academia + Relógio,52,99,5,15,4.7,(41)
,Tenis Masculino Olim Academia Leve Confortavel Original Feet,109,99,98,99,4.5,(44)
HAYMAX,Tênis Skatista Masculino Feminino Old School Envio Imediato,99,99,9,72,4.5,(902)
OLYMPIKUS,Olympikus Corre 3 Sem gênero Adultos,499,99,50,,4.8,(72)
WM,Tenis Olimp Masculino Feminino Lançamento Muito Envio Rápido,109,99,100,09,4.3,(45)
VIA LIVRE,Tênis Masculino Corrida Advanced Aero Academia Leve Macio,79,90,26,63,4.4,(36)
,Tênis Esporte Masculino Pronta Entrega Barato,66,90,63,55,4.4,(1523)
BF SHOES,Tênis Esportivo Masculino Para Malhar Confortável Lançamento,78,90,74,95,4.5,(1994)
BLACK FREE,Kit 2 Pares Tênis Black Free Evolution Masculino Promoção,239,99,34,28,4.5,(754)
,Tênis Infantil Olympikus Original Dia Dia Crianças Conforto,199,99,33,33,,
PUMA,Puma Smash V2 Masculino Adultos,349,90,299,90,4.8,(254)
WONDER,Tenis Masculino Wonder Esportivo Fit Academia Corrida Casual,78,90,7,67,4.3,(27)
EVER WAY,Tênis De Caminhada Confortável Detalhes Em Couro Legitimo,78,90,74,95,4.4,(309)
OLYMPIKUS,Tênis Masculino Esportivo Dynamic Cover Grid Olympikus Novo,279,99,222,99,4.9,(82)
,Tênis Masculino Academia Rixxon Leve Promoção Barato ,87,90,62,40,4.5,(632)
OLYMPIKUS,Tênis Esportivo Olympikus Estilo 2 Preto Masculino Original,269,90,33,74,4.8,(6)
,Kit 2 Tenis Masculino Esportivo Adulto Caminhada Corrida To,158,70,15,43,4.5,(259)
SAPATOFRAN,Sapatênis Masculino Sola Baixa Super Barato Básico Promoção,54,99,44,99,4.2,(73)
OLDSEN,Tenis Masculino Lançamento Original Confortavel Tecido 38-45,78,95,74,30,4.3,(564)
OLYMPIKUS,Olympikus Casual Jogging 101 Masculino Adultos,199,99,168,99,4.6,(1688)
OLYMPIKUS,Tênis Olympikus Chroma Masculino Preto Academia Caminhada,251,24,174,90,4.6,(29)
,Tênis Masculino Academia Caminhada Corrida Training Bylbow,78,90,71,10,4.6,(3522)
,Tenis Masculino Olimp Kit 02 Pares Academia Promoção Oferta,144,90,14,08,4.4,(3686)
ON RUNNING,Tênis On Running Cloudsurfer Next Masculino,1.149,99,114,,,
,Tênis Unyeezy Academia Otimo P/ Dia A Dia Leve Confortavel,49,99,16,66,4.2,(121)
OLYMPIKUS,Tênis Masculino E Feminino Esportivo Proof 3 Olympikus,199,99,162,99,4.8,(321)
MIZUNO,Mizuno Space 3 Masculino Adultos,329,90,244,12,4.7,(1682)
,Sapatenis Masculino Confortável Em Couro Preto Palmilha Gel,209,90,20,40,4.6,(5)
FILA,Tênis Fila Racer Nairobi Preto Cinza E Verde - Masculino,379,99,296,39,4.8,(223)
OLDSEN,Tenis Corrida Casual Insanity Leve Confortável Macio 34-43,78,90,74,95,4.2,(156)
OLYMPIKUS,Olympikus Casual Mood Masculino Adultos,199,34,19,,4.8,(3478)
OLYMPIKUS,Olympikus Zex Masculino Adultos,239,90,177,52,4.7,(606)
,Tenis Olympikus Dynamic Masculino Esportivo  Original,254,90,24,71,4.8,(1498)
MIZUNO,Mizuno Wave Mirai 5 Masculino Adultos,309,85,30,99,4.6,(700)
MARATHON,Tênis Esportivo Corrida Marathon Flex Amortecedor Mola Leve,199,90,77,96,4.1,(21)
OLYMPIKUS,Olympikus Ultraleve 130g Feminino Adultos,208,22,20,,4.8,(4219)
DUBBELE,Tenis Masculino Academia Corrida Wave Force Promoção Barato,73,98,7,19,4.2,(526)
,Tênis Corrida Academia Caminhada Com Calce Fácil Lançamento,109,90,104,40,4.7,(543)
OLYMPIKUS,Olympikus Caminhada Urano 2 Sem gênero Adultos,229,99,194,99,4.8,(1929)
,Sapatilha Aquatica Neoprene Secarapido Sola Forte Confort,52,90,17,63,4.6,(928)
OLYMPIKUS,Olympikus Eros Masculino Adultos,237,49,182,99,4.8,(1688)
